#SampleID	Group
SRR32507895	Unknown
SRR32507896	Unknown
SRR32507898	Unknown
SRR32507899	Unknown
SRR32507900	Unknown
SRR32507901	Unknown
SRR32507902	Unknown
SRR32507903	Unknown
SRR32507904	Unknown
SRR32507905	Unknown
SRR32507906	Unknown
SRR32507907	Unknown
SRR32507909	Unknown
SRR32507910	Unknown
SRR32507911	Unknown
SRR32507912	Unknown
SRR32507913	Unknown
SRR32507914	Unknown
SRR32507915	Unknown
SRR32507916	Unknown
SRR32507917	Unknown
SRR32507918	Unknown
SRR32507920	Unknown
SRR32507921	Unknown
SRR32507922	Unknown
SRR32507931	Unknown
SRR32507932	Unknown
