sample-id	treatment_group	batch	seq_depth_category	size_category	length_category	sample-name	library-name	bioproject	biosample	library-strategy	library-source	library-layout	platform	model	spots	bases	avg-length	size-mb	source
SRR32507895	Group_A	Batch_8	Medium	Small	Short_251	a52	8A_S8_L001_R1_001	PRJNA1229183	SAMN47125301	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	65584	16461584	251	9	Rhizosphere
SRR32507896	Group_D	Batch_5	Medium	Medium	Short_251	a51	5D_S32_L001_R1_001	PRJNA1229183	SAMN47125300	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	77247	19388997	251	11	Rhizosphere
SRR32507897	Mid_Numbers	Range_20s	Low	Small	Long_301	a6	21_S60_L001_R1_001	PRJNA1229183	SAMN47125255	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	47931	14427231	301	7	Rhizosphere
SRR32507898	Group_C	Batch_5	Medium	Medium	Short_251	a50	5C_S23_L001_R1_001	PRJNA1229183	SAMN47125299	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	92163	23132913	251	14	Rhizosphere
SRR32507899	Group_A	Batch_5	Medium	Small	Short_251	a49	5A_S5_L001_R1_001	PRJNA1229183	SAMN47125298	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	56012	14059012	251	8	Rhizosphere
SRR32507900	Group_D	Batch_2	High	Medium	Short_251	a48	2D_S29_L001_R1_001	PRJNA1229183	SAMN47125297	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	131208	32933208	251	20	Rhizosphere
SRR32507901	Group_C	Batch_2	High	Medium	Short_251	a47	2C_S20_L001_R1_001	PRJNA1229183	SAMN47125296	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	123948	31110948	251	18	Rhizosphere
SRR32507902	Group_A	Batch_2	High	Medium	Short_251	a46	2A_S2_L001_R1_001	PRJNA1229183	SAMN47125295	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	117057	29381307	251	17	Rhizosphere
SRR32507903	Group_D	Batch_9	Medium	Medium	Short_251	a45	9D_S36_L001_R1_001	PRJNA1229183	SAMN47125294	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	96701	24271951	251	15	Rhizosphere
SRR32507904	Group_C	Batch_9	High	Medium	Short_251	a44	9C_S27_L001_R1_001	PRJNA1229183	SAMN47125293	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	125569	31517819	251	19	Rhizosphere
SRR32507905	Group_A	Batch_9	High	Medium	Short_251	a43	9A_S9_L001_R1_001	PRJNA1229183	SAMN47125292	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	106277	26675527	251	16	Rhizosphere
SRR32507906	Group_D	Batch_6	High	Medium	Short_251	a42	6D_S33_L001_R1_001	PRJNA1229183	SAMN47125291	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	128325	32209575	251	19	Rhizosphere
SRR32507907	Group_C	Batch_6	Medium	Medium	Short_251	a41	6C_S24_L001_R1_001	PRJNA1229183	SAMN47125290	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	73435	18432185	251	11	Rhizosphere
SRR32507908	Mid_Numbers	Range_20s	Medium	Medium	Long_301	a5	20_S59_L001_R1_001	PRJNA1229183	SAMN47125254	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	97849	29452549	301	15	Rhizosphere
SRR32507909	Group_A	Batch_6	Medium	Medium	Short_251	a40	6A_S6_L001_R1_001	PRJNA1229183	SAMN47125289	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	80071	20097821	251	12	Rhizosphere
SRR32507910	Group_D	Batch_3	Medium	Medium	Short_251	a39	3D_S30_L001_R1_001	PRJNA1229183	SAMN47125288	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	95076	23864076	251	14	Rhizosphere
SRR32507911	Group_C	Batch_3	High	Large	Short_251	a38	3C_S21_L001_R1_001	PRJNA1229183	SAMN47125287	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	161297	40485547	251	23	Rhizosphere
SRR32507912	Group_A	Batch_3	High	Medium	Short_251	a37	3A_S3_L001_R1_001	PRJNA1229183	SAMN47125286	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	109576	27503576	251	16	Rhizosphere
SRR32507913	Group_D	Batch_7	Medium	Medium	Short_251	a36	7D_S24_L001_R1_001	PRJNA1229183	SAMN47125285	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	75146	18861646	251	11	Rhizosphere
SRR32507914	Group_C	Batch_7	High	Large	Short_251	a35	7C_S25_L001_R1_001	PRJNA1229183	SAMN47125284	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	138802	34839302	251	21	Rhizosphere
SRR32507915	Group_A	Batch_7	Medium	Small	Short_251	a34	7A_S7_L001_R1_001	PRJNA1229183	SAMN47125283	AMPLICON	METAGENOMIC	SINGLE	ILLUMINA	Illumina MiSeq	61549	15448799	251	9	Rhizosphere
