pathway	SRR32507895	SRR32507896	SRR32507898	SRR32507899	SRR32507900	SRR32507901	SRR32507902	SRR32507903	SRR32507904	SRR32507905	SRR32507906	SRR32507907	SRR32507909	SRR32507910	SRR32507911	SRR32507912	SRR32507913	SRR32507914	SRR32507915	SRR32507916	SRR32507917	SRR32507918	SRR32507920	SRR32507921	SRR32507922	SRR32507931	SRR32507932
12DICHLORETHDEG-PWY	1136.220898709834	1461.0983848680758	1491.2141085295739	1896.0664293241139	1758.4605531394984	3585.3123404884436	2622.895662942428	720.0467483527988	1521.1105360675804	1720.6577659108523	1249.1815774241334	712.5880230599635	2706.8717684888575	1241.029893148154	5149.332285122757	1808.2913825144487	1076.1580965865128	1225.3351757000717	1849.587638696378	1435.6395786982432	872.840809846974	1186.132370440545	1087.0689066746525	3188.454729160959	2089.3303394921227	1181.0500867717076	2237.1640137745712
14DICHLORBENZDEG-PWY	5896.954512578219	14590.629068672362	16759.53158829456	7369.149570552883	21526.72244834867	3121.508602903816	10823.974132214866	5875.081190413338	11265.280733756217	10449.425131613121	25804.960386486087	9587.985932898386	11231.623712662904	13017.906450212355	4366.231874259583	8950.431850076275	5603.908926179984	14128.969050391634	5842.3438771262745	26746.893181538566	7420.680829160333	4006.303013219616	13747.082745590345	2919.2510928197685	6236.348738236411	3111.4163412924963	8031.221567957756
1CMET2-PWY	44450.913306932685	52279.871098750154	57156.6662956012	40274.554025032696	82915.08490613059	87275.05789034533	72959.01727733403	58164.16558433231	82650.38813502913	68349.35709631247	84267.81300375125	44098.08564583433	55404.93353783598	61121.254548180856	109040.83533760188	61522.83055847505	45308.13542399356	90080.3005517296	41537.740385192585	85563.02103146684	45111.30775910805	28968.330064269863	67072.76017832228	55130.06310391244	59770.13195491248	45632.06014370597	85704.65261350194
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4864.993825812931	4885.211284727649	6679.276857898279	6333.296985624748	16505.83490476749	12371.797033905867	12675.302136389844	4070.1365503038337	13807.031041409904	8738.194168710132	9473.794842001374	8094.205756416226	10340.045658671557	11709.470845477357	17568.632020503643	11116.999991983283	3357.5422773478776	13668.548849299512	3285.085249950584	8896.233988133128	4441.715307017129	4084.378001929086	11920.808215190575	9270.730742852698	9094.937322702464	2535.1494178320886	11494.74472053105
4-HYDROXYMANDELATE-DEGRADATION-PWY	0.0	0.0	0.0	0.0	0.0	353.33386700837667	0.0	0.0	348.75723795427274	31.88225649485221	15.963440647024724	47.54812317536036	0.0	0.0	330.8932095521691	0.0	0.0	442.8526947674673	0.0	55.60046587167526	0.0	31.75121401236579	257.37092584544314	610.7371117158331	171.58972810212546	0.0	360.7249269095507
AEROBACTINSYN-PWY	123.50509388067421	156.47742951603266	0.0	118.22479209998666	711.7435844953671	1107.4798329650312	271.7508693972548	292.9524901427422	331.9047463866843	167.21500269391854	130.46954199186297	30.92358176878982	328.9430872282767	335.0640647585358	1645.711958241415	167.3651828590793	25.264191629724504	576.1217499105503	82.92692138548723	385.15213068216923	0.0	65.51540783521347	193.01204099767904	286.0992924839504	119.5018508855692	127.02840749857936	902.5800347001067
ALLANTOINDEG-PWY	8029.000851913353	7850.412926453078	10122.061364647834	5638.4320646069045	10732.175748499938	22223.05426846405	14872.956301522843	8930.62834318388	14391.222305081461	13369.174642802544	12402.024485513166	7723.521021886887	8131.615853455391	9502.332918436183	24690.44194005039	13072.210416278373	6109.220413965737	15936.26077491915	8991.25709540976	13206.244317505196	9856.77031851627	3606.244506559326	9266.438777750533	10994.228968244503	12694.14695461744	6718.7842629521065	17619.779972670625
ANAEROFRUCAT-PWY	33512.46540570143	32369.923359812597	34593.02769978362	25647.316255902893	52099.757117876	79405.53010333038	52715.80145038452	47154.10947686079	61765.47548066615	48059.66799139505	54864.64973444029	24241.981338841048	30105.336221711736	41114.384867294044	96923.3963391823	44600.99457871569	39756.61057401178	72290.01141342078	29197.464407847696	52123.09123525225	22462.210207835076	18067.29926980008	43807.20148118536	49952.72325250013	43751.26498449412	44887.19919631475	63143.45357239939
ANAGLYCOLYSIS-PWY	49309.897551577866	58713.237925475194	66161.16686109433	44616.92361422381	95465.16509239038	93141.76157186757	78417.15160727636	69106.51944120065	89175.10952120392	75111.81281826952	95536.8714734227	52218.948206732915	62705.80133681257	71218.0104449882	115157.66318855638	67039.90116790797	54344.91581398454	95257.45668019573	44976.51603320298	94851.47784185727	51006.69041829892	30812.47536135055	77445.35307679596	58400.388862403146	63273.578409963164	58426.26178437872	91317.86677231366
ARG+POLYAMINE-SYN	30547.388276448055	33225.95691998546	38613.316613723386	26066.749716716127	58741.00199695977	68256.85486817067	60140.30471297036	35688.81406787547	57251.693574442776	47843.9644903536	55186.213826779065	29753.64151795093	32961.194690476754	44252.50140428498	78315.49060067086	51687.51806949695	27720.474585528387	64934.13505729637	27085.530839533585	57618.585841750755	31375.36838013277	16978.164486509646	45954.31762352528	41498.751414524	49502.2928507351	27717.353828298754	60257.954991820225
