sample ID	forward sequence count
SRR32507895	65584
SRR32507896	77247
SRR32507897	47931
SRR32507898	92163
SRR32507899	56012
SRR32507900	131208
SRR32507901	123948
SRR32507902	117057
SRR32507903	96701
SRR32507904	125569
SRR32507905	106277
SRR32507906	128325
SRR32507907	73435
SRR32507908	97849
SRR32507909	80071
SRR32507910	95076
SRR32507911	161297
SRR32507912	109576
SRR32507913	75146
SRR32507914	138802
SRR32507915	61549
SRR32507916	133336
SRR32507917	70965
SRR32507918	47827
SRR32507919	62372
SRR32507920	116114
SRR32507921	78584
SRR32507922	102124
SRR32507923	84691
SRR32507924	23399
SRR32507925	61767
SRR32507926	76544
SRR32507927	187284
SRR32507928	18852
SRR32507929	29591
SRR32507930	22223
SRR32507931	77093
SRR32507932	128105
SRR32507933	54067
SRR32507934	72889
SRR32507935	111238
SRR32507936	193677
SRR32507937	244638
SRR32507938	27854
SRR32507939	24831
SRR32507940	33170
SRR32507941	17580
SRR32507942	72780
SRR32507943	109102
SRR32507944	50948
SRR32507945	164024
SRR32507946	207529
SRR32507947	124139
SRR32507948	331
